studyID,studyUUID,studyName,siteID,custodianID,custodianName,pipelineID,data,standardFormat
AMM-1,4625cf53-c13e-4988-9dab-1bda5b0df449,NA,AMM,LMU,Ludwig-Maximilian University,AMM,TRUE,TRUE
BAN-1,85227522-6a00-4995-835a-69f5ef51391d,NA,BAN,UCC,University College Cork,BAN,TRUE,TRUE
CHO-1,74a38999-2922-4180-81d4-59531451c61b,NA,CHO,MESC,Marine and Environmental Sciences Centre,CHO,TRUE,TRUE
HAR-1,24f63e00-ad6e-4863-9ffb-13b26931a04d,NA,HAR,TUR,University of Turku,HAR,TRUE,TRUE
HOC-1,e86d682a-4929-421d-8ecb-af77e674efcc,NA,HOC,MPIO,Max Planck Institute for Ornithology,HOC,TRUE,TRUE
KEV-1,9263c26b-873f-4255-95d8-933c9c68236f,NA,KEV,TUR,University of Turku,KEV,TRUE,TRUE
MIS-1,024882b4-08ae-44cc-91cd-ad8743f5b339,NA,MIS,CEFE,CEFE CNRS,MON,TRUE,TRUE
MON-1,085e8a3c-1145-4eeb-857d-f0065f21267d,NA,MON,CEFE,CEFE CNRS,MON,TRUE,TRUE
MTV-1,3cfc0a5a-59c1-42fd-a125-9e67a37bdf9a,NA,MTV,CEFE,CEFE CNRS,MON,TRUE,TRUE
MUR-1,f443e52f-525a-4671-8b61-14bc156bbbc0,NA,MUR,CEFE,CEFE CNRS,MON,TRUE,TRUE
PIR-1,410e4be4-485f-4646-97e6-cfb43dd701e6,NA,PIR,CEFE,CEFE CNRS,MON,TRUE,TRUE
ROU-1,1f6d39e0-fd49-40d2-aa4c-1932846f4e06,NA,ROU,CEFE,CEFE CNRS,MON,TRUE,TRUE
BUU-1,ac41017a-c30c-4c64-93a4-04e043d32557,NA,BUU,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
HOG-1,7cf00143-55d6-442e-bd76-cdf452d2b814,NA,HOG,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
LIE-1,24bcd0c3-36d3-4fa9-9038-b8e1dba30289,NA,LIE,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
OOS-1,7399d1b1-d57d-4d4f-99bf-21f5c46e0d10,NA,OOS,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
VLI-1,ad9de535-2d47-4e8f-9c09-9c0c1fa72cdc,NA,VLI,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
WAR-1,580f5f58-da04-4058-b833-411e33c10230,NA,WAR,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
WES-1,47fb1db6-4355-469f-8a22-7e62142452bb,NA,WES,NIOO,Netherlands Institute of Ecology (NIOO-KNAW),NIOO,TRUE,TRUE
EDM-1,7cbc8e70-7a75-4c80-a2d2-28b34b6ae526,NA,EDM,PFN,PiedFly.Net,PFN,TRUE,TRUE
PIL-1,a68aba12-f021-4236-88d5-2032077ad312,NA,PIL,ELU,"Department of Systematic Zoology and Ecology, Eotvos Lorand University",PIL,TRUE,TRUE
SSQ-1,bdb0a278-af41-4600-8ae0-94dad2f4f4f5,NA,SSQ,SSQ,Santo Stefano Quisquina,SSQ,TRUE,TRUE
BOS-1,226528a2-a994-4494-9973-b06e18b76c0c,NA,BOS,EEA,"Evolutionary Ecology Group, University of Antwerp",UAN,TRUE,TRUE
PEE-1,5d07ff08-fbcf-46db-8587-0c1ab19ca9de,NA,PEE,EEA,"Evolutionary Ecology Group, University of Antwerp",UAN,TRUE,TRUE
VEL-1,607edcce-c959-4fdc-b9b2-4c0420962d88,NA,VEL,ZLOP,"Department of Zoology and Laboratory of Ornithology, Palacky University",VEL,TRUE,TRUE
WYT-1,84f7702f-7688-445f-bc90-09c11abe3ce9,NA,WYT,EGI,"Edward Grey Institute, Department of Zoology, University of Oxford",WYT,TRUE,TRUE
ASK-1,b4cb6d28-aa8e-44d6-a201-e4b60538d8b3,NA,ASK,TUR,University of Turku,NA,TRUE,TRUE
BER-1,28d31fa2-9f09-4b87-97bb-a4057ff919d8,NA,BER,RUG,University of Groningen,NA,TRUE,FALSE
TOR-1,7f5cf1d0-999e-4c82-9e0f-9157a5e050c9,NA,TOR,RUG,University of Groningen,NA,TRUE,FALSE
MZR-1,033ade6d-900a-4bdc-bbbc-5ba9beff6149,NA,MZR,RUG,University of Groningen,NA,TRUE,FALSE
DVZ-1,ba3ef44b-c1d0-4f29-a75b-9edf6105b05e,NA,DVZ,RUG,University of Groningen,NA,TRUE,FALSE
OWM-1,eb7e280d-6110-4917-9268-627dae63bb83,NA,OWM,RUG,University of Groningen,NA,TRUE,FALSE
APP-1,6d2672a3-86d5-4dc7-9049-cf215462b984,NA,APP,RUG,University of Groningen,NA,TRUE,FALSE
LBZ-1,9948329a-9a7e-482c-8d0a-ddbff810e219,NA,LBZ,RUG,University of Groningen,NA,TRUE,FALSE
DWI-1,9693e11a-a379-41c7-8d3e-cc1e528bf55b,NA,DWI,RUG,University of Groningen,NA,TRUE,FALSE
RUI-1,b5592333-05a5-4a76-a97c-7bdf57493cfa,NA,RUI,RUG,University of Groningen,NA,TRUE,FALSE
DWZ-1,bb584333-8b80-460e-ac05-61f03f562d04,NA,DWZ,RUG,University of Groningen,NA,TRUE,FALSE
ANS-1,38a4e441-1bb5-4294-b99b-5d6c5b2ea780,NA,ANS,RUG,University of Groningen,NA,TRUE,FALSE
MIA-1,b2536130-7c30-49a0-9f37-8237f2d0ae5e,NA,MIA,RUG,University of Groningen,NA,TRUE,FALSE
BRG-1,0898aac4-9db0-4230-8f41-ab1c8f7e5b13,NA,BRG,BRG,"Department of Biological Sciences, University of Bergen",NA,TRUE,FALSE
CAN-1,3e67fbd7-facd-4d4b-971b-bbd9c2391fb2,NA,CAN,EBD,Estacion Biologica de Donana,NA,FALSE,NA
CAC-1,2cb86ee3-89ff-48a0-a010-88a5fb6f8151,NA,CAC,MCNB,Museu de Ciencies Naturals de Barcelona,NA,TRUE,FALSE
DAE-1,01c2f578-60b7-4ca5-a69b-212c6c133e4b,NA,DAE,OSL,University of Oslo,NA,TRUE,FALSE
DAL-1,9943d2d5-66b9-4dc8-a86b-391b88c19164,NA,DAL,EDI,University of Edinburgh,NA,FALSE,NA
DAZ-1,b593f613-a93f-4662-b5ec-c1557d0af774,NA,DAZ,IOZ,"Croatian Academy of Sciences and Arts, Institute of Ornithology",NA,TRUE,FALSE
DLO-1,d4b4f82b-e873-4cb4-bea7-bfdf3c567710,NA,DLO,ZLOP,"Department of Zoology and Laboratory of Ornithology, Palacky University",NA,TRUE,FALSE
DON-1,fbd6269f-33cb-493a-8fda-b2884e342b8d,NA,DON,EBD,Estacion Biologica de Donana,NA,TRUE,FALSE
DUN-1,2c6763d0-aa03-4989-b6be-6b7a0a0aef39,NA,DUN,OTA,University of Otago,NA,TRUE,FALSE
FOR-1,9c0e328d-162a-49c4-b9ac-7ef7bae7fef3,NA,FOR,LMU,Ludwig-Maximilian University,NA,TRUE,FALSE
GAR-1,24103194-7897-41eb-ba61-6e6368c2c284,NA,GAR,GLA,University of Glasgow,GLA,TRUE,TRUE
CAS-1,6a05e438-f6bc-43b8-801e-dd1096401020,NA,CAS,GLA,University of Glasgow,GLA,TRUE,TRUE
SAL-1,aefd7cdd-e133-491a-98aa-0470635f7542,NA,SAL,GLA,University of Glasgow,GLA,TRUE,TRUE
KEL-1,ad724bae-149e-4dc5-8c6d-b1efbbbdffd0,NA,KEL,GLA,University of Glasgow,GLA,TRUE,TRUE
SCE-1,32717afc-b174-45bf-9eef-10d48972629e,NA,SCE,GLA,University of Glasgow,GLA,TRUE,TRUE
GLI-1,0aa79d46-7eb8-4ad6-a3f0-54738fad9d31,NA,GLI,RUG,University of Groningen,NA,TRUE,FALSE
GRO-1,3afd2ea5-bf84-4757-83fb-cf4e8cf1c62b,NA,GRO,JAG,Jagiellonian University,GRO,TRUE,TRUE
LAH-1,4f57e20c-50db-4917-b7a7-4b3bfe54291d,NA,LAH,JPT,Jaime Potti,NA,TRUE,FALSE
MSC-1,0edc5b9b-812a-44ad-9b14-095d9f99a6ea,NA,MSC,JPT,Jaime Potti,NA,TRUE,FALSE
KIL-1,4d773924-bbc7-46bc-be6e-80fcaf6a90cb,NA,KIL,TAR,University of Tartu,KIL,TRUE,TRUE
KUU-1,641cb11c-e447-4460-a84c-c65b3b3ff2b0,NA,KUU,OUL,University of Oulu,NA,FALSE,NA
LAK-1,766bf6db-05ef-4317-be76-dd266647c639,NA,LAK,NINA,Norwegian Institute for Nature Research,NA,TRUE,FALSE
LAN-1,bcb3de8e-96aa-48d8-8a85-1fc6639b0aba,NA,LAN,LAN,Lancaster University,NA,TRUE,FALSE
LAS-1,915d2842-afa8-4765-a17c-89c28ca3d3e2,NA,LAS,OSPAS,"Ornithological Station, Museum and Institute of Zoology, Polish Academy of Sciences",NA,FALSE,NA
LUN-1,150d9143-56f8-43e3-95fd-94e5e27fcd2f,NA,LUN,SHF,University of Sheffield,NA,FALSE,NA
MAL-1,ec9c9254-0b7d-4b57-8036-dfc1802d576f,NA,MAL,LND,Lund University,NA,TRUE,FALSE
Mar-01,7bfb3b64-7d60-47e1-bdba-fa298a4992bb,NA,MAR,UPV,Universitat Politecnica de Valencia,NA,TRUE,FALSE
May-01,911af888-7f21-43b8-a85d-7b74a3f785eb,NA,MAY,KRC,"Karelian Research Centre, Russian Academy of Sciences",NA,TRUE,FALSE
MET-1,a5fadb80-0809-4448-acc6-0109dccb604c,NA,MET,METU,Middle East Technical University,NA,TRUE,FALSE
MIE-1,0b5eb585-eac0-4feb-ad0d-ff0e30714ca0,NA,MIE,OSPAS,"Ornithological Station, Museum and Institute of Zoology, Polish Academy of Sciences",NA,FALSE,NA
MOU-1,86545677-c13c-4df2-977d-6a1d7ea89f8d,NA,MOU,SETE,SETE CNRS,NA,TRUE,FALSE
BAL-1,84b78c6a-a4c6-4c42-9afb-eb661ba089ae,NA,BAL,MTA,"MTA-PE Evolutionary Ecology Group, University of Pannonia",NA,TRUE,FALSE
GUL-1,7341f349-4d34-4a74-be97-37cd61a3110a,NA,GUL,MTA,"MTA-PE Evolutionary Ecology Group, University of Pannonia",NA,TRUE,FALSE
SZE-1,0311e88d-d900-4130-808a-0f8eda7c451e,NA,SZE,MTA,"MTA-PE Evolutionary Ecology Group, University of Pannonia",NA,TRUE,FALSE
VES-1,b97b762c-13aa-49c1-a2fa-15adfa3f21df,NA,VES,MTA,"MTA-PE Evolutionary Ecology Group, University of Pannonia",NA,TRUE,FALSE
VIL-1,44ba7220-bf12-42e8-9196-5df803c913bf,NA,VIL,MTA,"MTA-PE Evolutionary Ecology Group, University of Pannonia",NA,TRUE,FALSE
MRC-1,fd03ce0b-8bb0-42af-883d-3d99391c331f,NA,MRC,MRC,University of Murcia,NA,FALSE,NA
OUL-1,f93dfc68-7167-44cf-9c37-5d2978f0b718,NA,OUL,OUL,University of Oulu,NA,TRUE,FALSE
PET-1,101461fd-b113-4798-837c-180c9b5df583,NA,PET,KRC,"Karelian Research Centre, Russian Academy of Sciences",NA,TRUE,FALSE
PEW-1,f5fe5b10-4c51-4be7-976c-d561cc7fe78c,NA,PEW,BEEA,"Behavioural Ecology and Ecophysiology Group, University of Antwerp",PEW,TRUE,TRUE
RAD-1,d4c0e104-f46e-4d3d-8f98-741204e5c518,NA,RAD,MPIAB,Max Plank Institute of Animal Behavior,NA,TRUE,FALSE
REV-1,737bb84c-a4df-42bc-bad5-3fc96ab2b73e,Revinge field study of blue tit and marsh tit,REV,LND,Lund University,NA,FALSE,NA
REV-2,77b7bd83-7b26-45e8-a88b-0576e56ee96c,Revinge field study of tawny owl,REV,LND,Lund University,NA,FALSE,NA
SAG-1,528f3a0d-67d6-47eb-a56a-a0c4e6e64ca0,NA,SAG,CIBEB,Cavanilles Institute of Biodiversity and Evolutionary Biology,NA,TRUE,FALSE
